Kana,Kanji,Romaji,Meaning,Notes,Part Of Speech
あかるい,,a-ka-ru-i,Cheerful,,I-Adjective
おもしろい,,o-mo-shi-ro-i,Funny,,I-Adjective
この,,ko-no,This (a noun must be followed),,Other
その,,so-no,That (a noun must be followed),"something or someone distant from the speaker, close to the listener; actions of the listener, or ideas expressed or understood by the listener",Other
かわいい,,ka-wa-i-i,Cute,,I-Adjective
