Kana,Kanji,Romaji,Meaning,Notes,Part Of Speech
バドミントン,,ba-do-mi-n-to-n,Badminton,,Noun (n.)
しあい,試合,shi-a-i,Match / Game,,Noun (n.)
れんしゅう,"練｜習
れん｜しゅう",re-n-syu-u,Practice,,Noun (n.)
ギター,,gi-taa,Guitar,,Noun (n.)
ピアノ,,pi-a-no,Piano,,Noun (n.)
ひく,弾く,hi-ku,To play (a stringed or keyboard instrument),ひきます is the present polite form,Godan Verb
がっき,"楽｜器
がっ｜き",gak-ki,Musical instrument,,Noun (n.)
こんや,"今｜夜
こん｜や",ko-n-ya,Tonight,,Noun (n.)
なんじかん,"何｜時｜間
なん｜じ｜かん",na-n-ji-ka-n,How many hours,,Expression
よじかん,"四｜時｜間
よ｜じ｜かん",yo-ji-ka-n,Four hours,,Noun (n.)
くじかん,"九｜時｜間
く｜じ｜かん",ku-ji-ka-n,Nine hours,,Noun (n.)
かんじ,"漢｜字
かん｜じ",ka-n-ji,Kanji,,Noun (n.)
ひらがな,"平｜仮｜名
ひら｜が｜な",hi-ra-ga-na,Hiragana,,Noun (n.)
ファッション,,fas-syo-n,Fashion,,Noun (n.)
バレエ,,ba-re-e,Ballet,,Noun (n.)
レッスン,,res-su-n,Lesson,,Noun (n.)
パフォーマンス,,pa-foo-ma-n-su,Performance,,Noun (n.)
おどる,"踊｜る
おど｜る",o-do-ru,To dance,おどります is the present polite form,Godan Verb
ブログ,,bu-ro-gu,Blog,,Noun (n.)
きじ,"記｜事
き｜じ",ki-ji,Article,,Noun (n.)
かく,"書｜く
か｜く",ka-ku,To write,かきます is the present polite form,Godan Verb
はじまる,"始｜まる
はじ｜まる",ha-ji-ma-ru,To begin,はじまります is the present polite form,Godan Verb
あとで,後で,a-to-de,Afterwards,,Adverb
ぜひ,"是｜非
ぜ｜ひ",ze-hi,Certainly,,Adverb
