Kana,Kanji,Romaji,Meaning,Notes,Part Of Speech
ほしい,欲しい,ho-shi-i,[adj.] Wanting (to have),欲しくない → Don’t want,I-Adjective
ちょっと,一寸,chot-to,A little,"In duolingo, it has a meaning of “dont really like”, for example このぼうしはちょっと → I don’t really like this hat (aka This hat is a little…)",Adverb
ね,,ne,[Particle] right? / isn't it?,Used at the end of the sentence,Particle
いくら,幾ら,i-ku-ra,How much,,Noun (n.)
あの,,a-no,That,"someone or something distant from both speaker and listener, or situation unfamiliar to both speaker and listener",Other
ひゃく,百,hya-ku,Hundred,,Other
せん,千,se-n,Thousand,,Other
えん,円,e-n,Yen,,Noun (n.)
ありがとうございます,,a-ri-ga-tou-go-za-i-ma-su,Thank you,ございます is the polite form of ござる,Expression
あたらしい,新しい,a-ta-ra-shi-i,New,,I-Adjective
ふるい,古い,hu-ru-i,Old,,I-Adjective
やすい,安い,ya-su-i,Cheap,,I-Adjective
ダサい,,da-sa-i,Hideous,,I-Adjective
すてき,素敵,su-te-ki,Lovely / Wonderful / Nice,な-adj,Na-adjective
いい,良い,i-i,Good / Nice,Pronounced as よい in formal situations,I-Adjective
あおい,青い,a-o-i,Azure,,I-Adjective
くろい,黒い,ku-ro-i,Black,,I-Adjective
たかい,高い,ta-ka-i,High / Tall / Expensive,,I-Adjective
スカート,,su-kaa-to,Skirt,,Noun (n.)
ジャケット,,jya-ket-to,Jacket,,Noun (n.)
ふく,服,hu-ku,Clothes,,Noun (n.)
さいふ,"財｜布
さい｜ふ",sa-i-hu,Wallet,,Noun (n.)
Tシャツ,,t-sha-tsu,T-shirt,,Noun (n.)
ドレス,,do-re-su,Dress,,Noun (n.)
ネクタイ,,ne-ku-ta-i,Necktie,,Noun (n.)
みせ,店,mi-se,Store,,Noun (n.)
