Kana,Kanji,Meaning,Notes,Part Of Speech,Romaji
きょうだい,"兄｜弟
きょう｜だい",Siblings,,Noun (n.),kyo-u-da-i
ひとり,"一｜人
ひと｜り",One person,,Noun (n.),hi-to-ri
できる,"出｜来｜る
で｜き｜る",To be able to do / To be proficient (in),"Ichidan verb, できます is the present polite form",Ichidan Verb,de-ki-ru
オーストラリア,濠太剌利,Australia,,Noun (n.),oo-su-to-ra-ri-a
おこさん,お子さん,(Another's) Child,"Honorific language
おこ means child, さん is to show respect",Noun (n.),o-ko-sa-n
こども,"子｜供
こ｜ども",Child,,Noun (n.),ko-do-mo
おかえりなさい,"お｜帰｜りなさい
お｜かえ｜りなさい",Welcome home,,Expression,o-ga-e-ri-na-sa-i
おとうさん,お父さん,Dad,Honorific language,Noun (n.),o-to-u-sa-n
おかあさん,お母さん,Mother,Honorific language,Noun (n.),o-ka-a-sa-n
おげんきですか,"お｜元｜気｜ですか
お｜げん｜き｜ですか",How are you?,,Expression,o-ge-n-ki-de-su-ka
かれ,彼,He / Him,,Pronoun,ka-re
おねえさん,お姉さん,Older sister,Honorific language,Noun (n.),o-ne-e-sa-n
おにいさん,お兄さん,Older brother,Honorific language,Noun (n.),o-ni-i-sa-n
げんき,"元｜気
げん｜き",Lively / Healthy,,Na-adjective,ge-n-ki
(n.)も(n.)も,,Both A and B are …,,Particle,mo
おとうとさん,弟さん,Younger brother,Honorific language,Noun (n.),o-to-u-to-sa-n
ご,語,Language (used as suffix),,Suffix,go
コーチ,,Coach,,Noun (n.),koo-chi
たいわん,"台｜湾
たい｜わん",Taiwan,,Noun (n.),ta-i-wa-n
えいご,"英｜語
えい｜ご",English,,Noun (n.),e-i-go
ふたり,"二｜人
ふた｜り",Two persons,,Noun (n.),hu-ta-ri
マレーシア,馬来西亜,Malaysia,,Noun (n.),ma-ree-shi-a
ソウル,,Seoul,,Noun (n.),so-u-ru
たのしい,楽しい,Enjoyable / Fun,,I-Adjective,ta-no-shi-i
いっしょに,"一｜緒｜に
いっ｜しょ｜に",Together,,Adverb,is-syo-ni
いもうとさん,妹さん,Younger sister,Honorific language,Noun (n.),i-mo-u-to-sa-n
