Kana,Kanji,Romaji,Meaning,Notes,Part Of Speech
しま,島,shi-ma,Island,,Noun (n.)
いけ,池,i-ke,Pond,,Noun (n.)
クルーズ,,ku-ruu-zu,Cruise,,Noun (n.)
はなみ,"花｜見
はな｜み",ha-na-mi,Flower viewing / Cherry blossom viewing,,Noun (n.)
おなじ,"同｜じ
おな｜じ",o-na-ji,Same,,Noun (n.)
みんな,皆,mi-n-na,Everyone,,Noun (n.)
わたしたち,"私｜たち
わたし｜たち",wa-ta-shi-ta-chi,We,,Pronoun
たまねぎ,"玉｜ねぎ
たま｜ねぎ",ta-ma-ne-gi,Onion,,Noun (n.)
バター,,ba-taa,Butter,,Noun (n.)
こむぎこ,"小｜麦｜粉
こ｜むぎ｜こ",ko-mu-gi-ko,Wheat flour,,Noun (n.)
さとう,"砂｜糖
さ｜とう",sa-to-u,Sugar,,Noun (n.)
スプーン,,su-puu-n,Spoon,,Noun (n.)
たな,棚,ta-na,Shelf,,Noun (n.)
ひきだし,"引｜き｜出｜し
ひ｜き｜だ｜し",hi-ki-da-shi,Drawer,,Noun (n.)
クローゼット,,ku-roo-zet-to,Closet,,Noun (n.)
なか,中,na-ka,Inside,,Noun (n.)
おく,奥,o-ku,Back,,Noun (n.)
した,下,shi-ta,Below,,Noun (n.)
まずい,不味い,ma-zu-i,Bad tasting,,I-Adjective
よい,良い,yo-i,Good,,I-Adjective
まあまあ,,ma-a-ma-a,So-so,,Noun (n.)
いちばん,"一｜番
いち｜ばん",i-chi-ba-n,Most / Best,,Adverb
ひるごはん,"昼｜ご｜飯
ひる｜ご｜はん",hi-ru-go-ha-n,Lunch,,Noun (n.)
らいねん,"来｜年
らい｜ねん",ra-i-ne-n,Next year,,Noun (n.)
なか,中,na-ka,During,,Noun (n.)
インスタント,,i-n-su-ta-n-to,Instant,,Noun (n.)
じこ,"事｜故
じ｜こ",ji-ko,Accident,,Noun (n.)
やちん,"家｜賃
や｜ちん",ya-chi-n,Rent,,Noun (n.)
つく,着く,tsu-ku,To arrive,つきます is the present polite form,Godan Verb
やめる,辞める,ya-me-ru,To resign / To quit,やめます is the present polite form,Ichidan Verb
