Kana,Kanji,Romaji,Meaning,Notes,Part Of Speech
こんにちは,,ko-n-ni-chi-ha,Hello,は is pronounces as “wa”,Expression
どうぞよろしく,,do-u-zo-yo-ro-shi-ku,Nice to meet you,Pronounced as 多～傻よろしく,Expression
こんばんは,,ko-n-ba-n-ha,Good evening,は is pronounces as “wa”,Expression
じゃあね,,ja-a-ne / jā-ne,Bye,,Expression
またあした,,ma-ta-a-shi-ta,See you tomorrow,"また → again
あした → tomorrow",Expression
さん,,sa-n,"It can mean Mr / Ms when used after a last name, but might also simply be a politeness marker when used after a first name",,Suffix
