Kana,Kanji,Meaning,Notes,Part Of Speech,Romaji
カレー,,Curry,,Noun (n.),ka-ree
ピザ,,Pizza,,Noun (n.),pi-za
はい,,Yes,,Other,ha-i
は,,[Particle] Indicates the topic of the sentence,は is pronounced as わ when used as a particle. See grammar notes.,Particle,wa
これ,,This,,Pronoun,ko-re
ケーキ,,Cake,,Noun (n.),kee-ki
か,,[Particle] Indicates a question when used at the end of a sentence,See grammar notes,Particle,ka
いいえ,,No,,Other,i-i-e
それ,,That,,Pronoun,so-re
ラーメン,,Ramen,,Noun (n.),raa-me-n
おいしい,,Tasty,,I-Adjective,o-i-shi-i
