Kana,Kanji,Romaji,Meaning,Notes,Part Of Speech
いち,一,i-chi,One,,Other
じ,時,ji,[Suffix] o’clock,,Suffix
いま,今,i-ma,Now,,Noun (n.)
すみません,,su-mi-ma-se-n,Excuse me,,Expression
なん,何,na-n,What,,Pronoun
に,二,ni,Two,,Other
さん,三,sa-n,Three,,Other
ごろ,頃,go-ro,Approximately (used with time),,Suffix
はん,半,ha-n,half-past ${hour},,Suffix
